language,question,answer
english,"For the past three days, I've had a high fever, a severe headache, especially behind my eyes, and my whole body aches.","These symptoms, particularly the high fever and retro-orbital pain (pain behind the eyes), are highly indicative of Dengue fever. It is crucial to monitor your platelet count. You should immediately consult a doctor for a blood test (NS1 antigen test). In the meantime, ensure you are getting plenty of rest and staying hydrated by drinking lots of water, coconut water, or ORS."
english,"I'm having recurring cycles of high fever, chills, and sweating. This happens every other day.","The cyclical pattern of fever, chills, and sweating is a classic symptom of Malaria. You must get a blood smear test done to confirm the diagnosis. A doctor will prescribe anti-malarial drugs based on the type of parasite. Do not delay seeking medical attention."
english,"I have a persistent fever that has been gradually increasing, along with weakness, stomach pain, and a headache. I've also lost my appetite.",A step-ladder pattern of fever with abdominal discomfort and loss of appetite points towards Typhoid fever. A Widal test or a blood culture is needed for diagnosis. Typhoid requires a full course of antibiotics prescribed by a doctor. Ensure you drink only boiled or purified water and maintain good hygiene.
english,"My eyes and skin have turned yellow, and my urine is very dark. I feel extremely tired and nauseous.","Yellowing of the skin and eyes (jaundice) along with dark urine are hallmark symptoms of Hepatitis, often caused by contaminated food and water. You need a liver function test (LFT). Treatment involves complete rest, a fat-free diet, and avoiding alcohol. Consult a gastroenterologist."
english,I'm constantly feeling thirsty and I have to urinate much more often than usual. I've also lost some weight without trying to.,"Excessive thirst (polydipsia) and frequent urination (polyuria), along with unexplained weight loss, are classic symptoms of hyperglycemia, which is associated with diabetes. It is very important to get your blood sugar levels checked. A doctor will likely recommend fasting blood sugar and HbA1c tests to confirm a diagnosis."
english,My recent blood pressure reading was 150/95 mmHg. Should I be worried?,"A reading of 150/95 mmHg is considered Stage 1 Hypertension. While not an immediate emergency, it's a warning sign that needs to be managed to prevent long-term complications like heart disease or stroke. You should start by reducing salt intake, exercising regularly, and managing stress. A doctor may prescribe medication if lifestyle changes aren't enough."
english,I get breathless easily when I walk fast or climb stairs. I also have a recurring wheezing sound when I breathe.,"Shortness of breath and wheezing, especially after exertion, are common signs of Asthma. It's a chronic condition where your airways narrow and swell. You should see a pulmonologist, who may perform a spirometry test to assess your lung function. Treatment usually involves inhalers."
english,"I often feel a burning sensation in my chest, especially after eating or when lying down. It leaves a sour taste in my mouth.","This sounds like acid reflux or Gastroesophageal Reflux Disease (GERD). It happens when stomach acid flows back into your esophagus. To manage it, avoid trigger foods like spicy or oily meals, eat smaller portions, and don't lie down for at least two hours after eating. Over-the-counter antacids can provide temporary relief."
english,My ankle is swollen and painful after I twisted it while walking. I can't put my full weight on it.,"You likely have an ankle sprain. You should follow the R.I.C.E. protocol immediately: Rest the ankle, apply Ice for 15-20 minutes every few hours, use a Compression bandage to reduce swelling, and Elevate your leg above heart level. An X-ray might be needed to rule out a fracture if the pain is severe."
english,"I have a dull, constant pain in my lower back that gets worse after sitting for a long time.","Chronic lower back pain is often related to posture, especially if it worsens after sitting. Ensure your chair has good lumbar support. Practice simple stretching exercises for your back. Strengthening your core muscles can also provide significant relief. If the pain is sharp or radiates down your leg, consult an orthopedic doctor."
english,"I have an itchy, red, circular rash on my arm. It looks like a ring.","A red, itchy, ring-shaped rash is often a sign of a fungal infection known as ringworm (tinea corporis). It's important to keep the area clean and dry. An over-the-counter antifungal cream containing clotrimazole or miconazole should be applied as directed. If it doesn't improve, see a dermatologist."
english,"I'm breaking out with painful pimples on my face, and some of them are leaving scars.","This sounds like cystic acne, which can be persistent. Good facial hygiene is important: wash your face twice daily with a gentle cleanser. Avoid oily cosmetics. Over-the-counter products with benzoyl peroxide or salicylic acid can help. For persistent or scarring acne, a dermatologist can prescribe stronger topical or oral medications."
